task_id,inconsistency type,inconsistency type,inconsistency type,inconsistency type,inconsistency type,inconsistency type,inconsistency type,inconsistency type
62e60ed4d76274f8a4026da0,{12},,,,,,,
62e60ed4d76274f8a4026da0,{13},,,,,,,
62e60e49d76274f8a4026d25,{3},{7},,,,,,
62e60e49d76274f8a4026d25,{21},,,,,,,
62e5dc9ed76274f8a4026b5b,{13},{5},{3},{7},{1},{14},,
62e5dc9ed76274f8a4026b5b,{13},{3},{7},{14},,,,
62e5dc9ed76274f8a4026b5b,{13},{5},{7},{14},,,,
62e5dc9ed76274f8a4026b5b,{13},{5},{3},{7},{1},{14},,
62e5dc9ed76274f8a4026b5b,{13},{5},{3},{1},{7},{14},,
62e5dc9ed76274f8a4026b5b,{13},{5},{3},{1},{7},{14},,
62e5dc9ed76274f8a4026b5b,{13},{3},{7},,,,,
62e5dc9ed76274f8a4026b5b,{13},{5},{7},{14},,,,
62e5dc9ed76274f8a4026b5b,{13},{3},{7},{14},,,,
62e4fbda85ea986430890403,{3},,,,,,,
62e4fb6585ea98643089032b,{12},{13},,,,,,
62b8d22a48ba5a41d1c3f47e,{4},,,,,,,
62b8d22a48ba5a41d1c3f47e,{13},{4},,,,,,
62b8d22a48ba5a41d1c3f47e,{13},,,,,,,
62b8d22948ba5a41d1c3f47c,{18},,,,,,,
62b8d22948ba5a41d1c3f47c,{13},,,,,,,
62b8bbbfe0d34b282c181210,{5},{3},{24},{13},{14},,,
62b8bbbfe0d34b282c181210,{21},,,,,,,
62b8bbbfe0d34b282c181210,{5},{21},{13},{14},,,,
62b8bbbfe0d34b282c181210,{1},{13},{5},{3},{18},,,
62b8bbbfe0d34b282c181210,{1},{5},{3},{21},{14},,,
62b8bbbfe0d34b282c18120f,{5},{3},{19},{21},{13},{14},,
62b8bbbfe0d34b282c18120f,{4},{5},{3},{19},{24},{13},{14},
62b8bbbfe0d34b282c18120f,{4},{5},{3},{19},{24},{13},{14},
62b8bbbfe0d34b282c18120f,{4},{5},{3},{19},{21},{13},,
62b8bbbfe0d34b282c18120f,{1},{5},{3},{19},{21},{13},{14},
62b8bbbfe0d34b282c18120f,{1},{4},{5},{3},{19},{21},{13},
62b8bbbfe0d34b282c18120f,{1},{4},{5},{3},{19},{21},{13},
62b8bbbfe0d34b282c18120f,{4},{5},{3},{19},{21},{13},{14},
62b8bbbce0d34b282c18120d,{5},,,,,,,
62b8bbbce0d34b282c18120d,{5},{3},{19},{13},{18},,,
62b8bbbce0d34b282c18120d,{10},{5},{3},{19},,,,
62b8bbbce0d34b282c18120d,{10},{13},{5},{3},{19},,,
62b8b3d6eb7e40a82d2d111c,{19},,,,,,,
62b8b3d4eb7e40a82d2d110e,{11},,,,,,,
62b8b3d4eb7e40a82d2d110e,{11},,,,,,,
62b8b3d4eb7e40a82d2d110e,{11},{13},,,,,,
62b8b3d4eb7e40a82d2d110e,{11},{13},,,,,,
62b8b3d4eb7e40a82d2d110e,{11},,,,,,,
62b8b3d4eb7e40a82d2d110e,{11},,,,,,,
62b8b3d4eb7e40a82d2d110d,{11},{13},,,,,,
62b87b099a0c4fa8b80b3538,{13},,,,,,,
62b87af69a0c4fa8b80b351a,{10},,,,,,,
62b45df15108cfac7f2109dc,{12},{19},,,,,,
62b45df15108cfac7f2109dc,{12},{13},,,,,,
62b463153879012d19481498,{12},{13},{5},{19},,,,
62b463153879012d19481498,{12},{13},,,,,,
62b463153879012d1948149b,{7},{17},,,,,,
62b463153879012d1948149b,{19},{20},{17},,,,,
62b463153879012d1948149b,{10},{13},,,,,,
62b463153879012d1948149b,{10},,,,,,,
62b463153879012d1948149c,{11},{6},{13},,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d1948149c,{11},{6},{13},,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d194814a1,{13},{19},,,,,,
62b463153879012d194814a1,{13},,,,,,,
62b463153879012d194814a1,{13},,,,,,,
62b463163879012d194814a2,{13},{19},,,,,,
62b463163879012d194814a2,{13},,,,,,,
62b463163879012d194814a2,{13},,,,,,,
62b463163879012d194814a2,{13},{19},,,,,,
62b463163879012d194814a2,{13},{19},,,,,,
62b463163879012d194814a2,{13},,,,,,,
62b463283879012d1948153d,{13},,,,,,,
62b463283879012d1948153d,{13},{3},{18},,,,,
62b463283879012d1948153d,{19},{13},,,,,,
62b463283879012d1948153d,{19},{13},,,,,,
62b463283879012d1948153d,{13},,,,,,,
62b463283879012d1948153d,{13},{18},,,,,,
62b463283879012d1948153d,{13},{5},{18},,,,,
62b463283879012d1948153d,{13},,,,,,,
62b46740d2f69a53b466171a,{10},{3},,,,,,
62b46740d2f69a53b466171a,{3},{15},,,,,,
62b46740d2f69a53b466171a,{10},{3},,,,,,
62b86707b4d922cb0e688c2a,{3},,,,,,,
62b45679d7d32e5b55cc83a9,{13},,,,,,,
62b438b666fea644fe22cc72,{13},,,,,,,
62b438b666fea644fe22cc72,{13},,,,,,,
62ece4982e6aefcf4aabbd5f,{16},,,,,,,
62ece4982e6aefcf4aabbd5f,{16},{19},,,,,,
62ece4982e6aefcf4aabbd5f,{8},{5},{16},,,,,
62ece4982e6aefcf4aabbd5f,{16},,,,,,,
62ece4982e6aefcf4aabbd5f,{9},{16},,,,,,
