 task_id,readability,conciseness,robustness
62e60ed4d76274f8a4026da0,0,1,0
62e60ed4d76274f8a4026da0,0,0,0
62e60e49d76274f8a4026d25,0,-1,0
62e60e49d76274f8a4026d25,0,0,-1
62e5dc9ed76274f8a4026b5b,0,-1,0
62e5dc9ed76274f8a4026b5b,-1,-1,0
62e5dc9ed76274f8a4026b5b,-1,0,0
62e5dc9ed76274f8a4026b5b,0,0,0
62e5dc9ed76274f8a4026b5b,0,0,0
62e5dc9ed76274f8a4026b5b,0,0,0
62e5dc9ed76274f8a4026b5b,-1,-1,0
62e5dc9ed76274f8a4026b5b,0,0,0
62e5dc9ed76274f8a4026b5b,-1,-1,0
62e4fbda85ea986430890403,0,-1,0
62e4fb6585ea98643089032b,0,-1,0
62b8d22a48ba5a41d1c3f47e,-1,0,0
62b8d22a48ba5a41d1c3f47e,-1,0,0
62b8d22a48ba5a41d1c3f47e,-1,0,0
62b8d22948ba5a41d1c3f47c,-1,-1,-1
62b8d22948ba5a41d1c3f47c,-1,-1,0
62b8bbbfe0d34b282c181210,0,-1,-1
62b8bbbfe0d34b282c181210,0,-1,-1
62b8bbbfe0d34b282c181210,1,-1,1
62b8bbbfe0d34b282c181210,-1,-1,1
62b8bbbfe0d34b282c181210,1,-1,1
62b8bbbfe0d34b282c18120f,-1,-1,1
62b8bbbfe0d34b282c18120f,-1,-1,-1
62b8bbbfe0d34b282c18120f,-1,-1,-1
62b8bbbfe0d34b282c18120f,-1,-1,1
62b8bbbfe0d34b282c18120f,-1,-1,1
62b8bbbfe0d34b282c18120f,-1,-1,1
62b8bbbfe0d34b282c18120f,-1,-1,1
62b8bbbfe0d34b282c18120f,-1,-1,1
62b8bbbce0d34b282c18120d,-1,-1,1
62b8bbbce0d34b282c18120d,-1,-1,-1
62b8bbbce0d34b282c18120d,-1,-1,1
62b8bbbce0d34b282c18120d,-1,-1,1
62b8b3d6eb7e40a82d2d111c,-1,1,0
62b8b3d4eb7e40a82d2d110e,-1,-1,0
62b8b3d4eb7e40a82d2d110e,0,-1,0
62b8b3d4eb7e40a82d2d110e,1,0,0
62b8b3d4eb7e40a82d2d110e,-1,-1,0
62b8b3d4eb7e40a82d2d110e,-1,-1,0
62b8b3d4eb7e40a82d2d110e,-1,-1,0
62b8b3d4eb7e40a82d2d110d,0,-1,0
62b87b099a0c4fa8b80b3538,-1,0,-1
62b87af69a0c4fa8b80b351a,-1,-1,0
62b45df15108cfac7f2109dc,-1,0,0
62b45df15108cfac7f2109dc,1,-1,0
62b463153879012d19481498,0,1,-1
62b463153879012d19481498,0,0,0
62b463153879012d1948149b,0,-1,0
62b463153879012d1948149b,0,0,0
62b463153879012d1948149b,0,-1,0
62b463153879012d1948149b,1,-1,0
62b463153879012d1948149b,0,-1,0
62b463153879012d1948149c,-1,-1,0
62b463153879012d1948149c,0,-1,0
62b463153879012d1948149c,0,-1,0
62b463153879012d1948149c,0,-1,0
62b463153879012d1948149c,0,-1,0
62b463153879012d1948149c,0,-1,0
62b463153879012d1948149c,0,-1,0
62b463153879012d194814a1,-1,0,-1
62b463153879012d194814a1,0,0,0
62b463153879012d194814a1,0,0,0
62b463163879012d194814a2,0,0,-1
62b463163879012d194814a2,0,0,0
62b463163879012d194814a2,0,0,0
62b463163879012d194814a2,0,0,-1
62b463163879012d194814a2,0,0,-1
62b463163879012d194814a2,0,0,0
62b463283879012d1948153d,0,0,0
62b463283879012d1948153d,0,0,-1
62b463283879012d1948153d,0,0,0
62b463283879012d1948153d,0,1,0
62b463283879012d1948153d,0,0,0
62b463283879012d1948153d,0,-1,-1
62b463283879012d1948153d,0,-1,-1
62b463283879012d1948153d,0,0,0
62b46740d2f69a53b466171a,-1,0,0
62b46740d2f69a53b466171a,0,0,0
62b46740d2f69a53b466171a,-1,1,0
62b86707b4d922cb0e688c2a,0,0,0
62b45679d7d32e5b55cc83a9,0,-1,0
62b438b666fea644fe22cc72,0,-1,0
62b438b666fea644fe22cc72,0,0,0
62ece4982e6aefcf4aabbd5f,0,-1,0
63ece4982e6aefcf4aabbd5f,0,1,0
64ece4982e6aefcf4aabbd5f,0,-1,0
64ece4982e6aefcf4aabbd5f,0,0,0
65ece4982e6aefcf4aabbd5f,0,0,0
66ece4982e6aefcf4aabbd5f,1,-1,0
