task_id,readability,conciseness,robustness
62e60ed4d76274f8a4026da0,0.0,1.0,0.0
62e60ed4d76274f8a4026da0,0.0,0.0,0.0
62e60ed4d76274f8a4026da0,0.0,1.0,0.0
62e60ed4d76274f8a4026da0,0.0,1.0,0.0
62e60ed4d76274f8a4026da0,0.0,1.0,0.0
62e60ed4d76274f8a4026da0,0.0,1.0,0.0
62e60ed4d76274f8a4026da0,-1.0,1.0,0.0
62e60e49d76274f8a4026d25,0.0,-1.0,0.0
62e60e49d76274f8a4026d25,0.0,-1.0,0.0
62e60723d76274f8a4026b75,0.0,0.0,0.0
62e5dc9ed76274f8a4026b5b,0.0,-1.0,0.0
62e5dc9ed76274f8a4026b5b,0.0,-1.0,0.0
62e5dc9ed76274f8a4026b5b,0.0,-1.0,0.0
62e5dc9ed76274f8a4026b5b,-1.0,0.0,0.0
62e5dc9ed76274f8a4026b5b,0.0,-1.0,0.0
62e5dc9ed76274f8a4026b5b,0.0,-1.0,0.0
62e4fbda85ea986430890403,0.0,0.0,0.0
62e4fbda85ea986430890403,0.0,0.0,0.0
62e4fb6585ea98643089032b,-1.0,1.0,0.0
62e4fb6585ea98643089032b,0.0,0.0,-1.0
62e4fb6585ea98643089032b,-1.0,1.0,0.0
62e4fb6585ea98643089032b,0.0,1.0,0.0
62e4fb6585ea98643089032b,0.0,1.0,0.0
62e4fb6585ea98643089032b,-1.0,0.0,0.0
62e4fb6585ea98643089032b,-1.0,0.0,0.0
62e4fb6585ea98643089032b,0.0,1.0,0.0
62b8bbbfe0d34b282c18120f,0.0,-1.0,1.0
62b8bbbfe0d34b282c18120f,0.0,-1.0,1.0
62b8bbbfe0d34b282c18120f,0.0,-1.0,0.0
62b8bbbfe0d34b282c18120f,0.0,-1.0,1.0
62b8bbbfe0d34b282c18120f,0.0,-1.0,1.0
62b8bbbfe0d34b282c18120f,0.0,-1.0,1.0
62b8bbbfe0d34b282c18120f,0.0,-1.0,1.0
62b8bbbce0d34b282c18120d,0.0,-1.0,-1.0
62b8bbbce0d34b282c18120d,0.0,-1.0,0.0
62b8bbbce0d34b282c18120d,0.0,-1.0,-1.0
62b8bbbce0d34b282c18120d,0.0,-1.0,-1.0
62b8bbbce0d34b282c18120d,0.0,-1.0,-1.0
62b8bbbce0d34b282c18120d,0.0,-1.0,-1.0
62b8bbbce0d34b282c18120d,0.0,-1.0,-1.0
62b8b3d4eb7e40a82d2d110f,0.0,-1.0,-1.0
62b8b3d4eb7e40a82d2d110f,0.0,-1.0,-1.0
62b8b3d4eb7e40a82d2d110f,0.0,-1.0,-1.0
62b8b3d4eb7e40a82d2d110f,0.0,-1.0,-1.0
62b8b3d4eb7e40a82d2d110e,0.0,-1.0,-1.0
62b8b3d4eb7e40a82d2d110e,0.0,-1.0,0.0
62b8b3d4eb7e40a82d2d110e,0.0,-1.0,-1.0
62b8b3d4eb7e40a82d2d110d,0.0,-1.0,-1.0
62b8b3d4eb7e40a82d2d110d,-1.0,0.0,0.0
62b87b099a0c4fa8b80b3538,0.0,1.0,-1.0
62b87b099a0c4fa8b80b3538,-1.0,0.0,0.0
62b87b099a0c4fa8b80b3538,0.0,-1.0,0.0
62b87b099a0c4fa8b80b3538,0.0,-1.0,0.0
62b87af99a0c4fa8b80b3524,0.0,0.0,-1.0
62b87af99a0c4fa8b80b3524,0.0,0.0,-1.0
62b87af99a0c4fa8b80b3524,0.0,-1.0,-1.0
62b87af99a0c4fa8b80b3524,0.0,-1.0,-1.0
62b87af99a0c4fa8b80b3524,0.0,-1.0,-1.0
62b87af99a0c4fa8b80b3524,0.0,0.0,0.0
62b87af69a0c4fa8b80b351a,-1.0,0.0,0.0
62b87af69a0c4fa8b80b351a,0.0,0.0,0.0
62b87af69a0c4fa8b80b351a,0.0,0.0,0.0
62b463153879012d19481498,0.0,1.0,0.0
62b463153879012d1948149b,1.0,-1.0,0.0
62b463153879012d1948149b,1.0,-1.0,0.0
62b463153879012d1948149b,1.0,0.0,0.0
62b463153879012d1948149b,0.0,-1.0,0.0
62b463153879012d1948149b,1.0,0.0,0.0
62b463153879012d1948149b,1.0,-1.0,0.0
