task_id,readability,conciseness,robustness
62e4fb6585ea98643089032b,0,1,0
62e4fb6585ea98643089032b,0,1,0
62e4fb6585ea98643089032b,0,0,-1
62e4fb6585ea98643089032b,0,0,-1
62e4fb6585ea98643089032b,0,-1,0
62e4fb6585ea98643089032b,0,1,0
62e4fb6585ea98643089032b,0,1,0
62e4fb6585ea98643089032b,0,0,-1
62e4fb6585ea98643089032b,0,1,0
62b8bbbfe0d34b282c181210,0,-1,0
62b8bbbfe0d34b282c181210,0,-1,0
62b8bbbfe0d34b282c181210,0,0,0
62b8bbbfe0d34b282c18120f,0,-1,0
62b8bbbfe0d34b282c18120f,0,-1,0
62b8bbbfe0d34b282c18120f,0,0,0
62b8bbbfe0d34b282c18120f,0,-1,0
62b8bbbfe0d34b282c18120f,0,-1,1
62b8bbbfe0d34b282c18120f,0,-1,1
62b8bbbfe0d34b282c18120f,0,-1,0
62b8bbbfe0d34b282c18120f,0,-1,1
62b8bbbce0d34b282c18120d,0,-1,0
62b8bbbce0d34b282c18120d,0,-1,0
62b8bbbce0d34b282c18120d,0,-1,-1
62b8bbbce0d34b282c18120d,0,-1,0
62b8bbbce0d34b282c18120d,0,-1,-1
62b8bbbce0d34b282c18120d,0,-1,0
62b8bbbce0d34b282c18120d,0,-1,-1
62b8bbbce0d34b282c18120d,0,-1,0
62b87af69a0c4fa8b80b351a,0,1,0
62b87af69a0c4fa8b80b351a,0,0,0
62b87af69a0c4fa8b80b351a,0,1,0
62b87af69a0c4fa8b80b351a,0,1,0
62b87af69a0c4fa8b80b351a,0,-1,-1
62b87af69a0c4fa8b80b351a,0,-1,-1
62b87af69a0c4fa8b80b351a,0,1,0
62b87af69a0c4fa8b80b351a,0,1,0
62b87af69a0c4fa8b80b351a,0,-1,-1
62b463153879012d19481498,0,0,0
62b463153879012d19481498,0,1,0
62b463153879012d19481498,0,1,0
62b463153879012d19481498,0,0,0
62b463153879012d19481498,0,0,0
62b463153879012d19481498,0,1,0
62b463153879012d1948149c,0,1,0
62b463153879012d1948149c,0,1,0
62b463153879012d1948149c,0,0,0
62b463153879012d1948149c,0,1,0
62b463153879012d1948149c,0,1,0
62b463153879012d1948149c,0,1,0
62b463153879012d1948149c,0,1,0
62b463153879012d1948149c,0,1,0
62b463153879012d1948149c,0,1,0
62b463153879012d1948149c,0,1,0
62b463283879012d1948153d,1,-1,0
62b463283879012d1948153d,1,-1,0
62b463283879012d1948153d,0,0,0
62b463283879012d1948153d,0,-1,-1
62b89640755ee91dce50a114,0,-1,0
62b89640755ee91dce50a114,0,-1,0
62b89640755ee91dce50a114,0,-1,0
62b89640755ee91dce50a114,0,-1,0
62b89640755ee91dce50a114,0,-1,0
62b89640755ee91dce50a114,0,-1,0
62b89640755ee91dce50a114,0,-1,0
62ece4982e6aefcf4aabbd61,0,1,0
62ece4982e6aefcf4aabbd61,0,1,0
62ece4982e6aefcf4aabbd61,0,0,0
62ece4982e6aefcf4aabbd61,0,1,0
62ece4982e6aefcf4aabbd61,0,1,0
62ece4982e6aefcf4aabbd61,0,1,0
62ece4982e6aefcf4aabbd61,0,1,0
62ece4982e6aefcf4aabbd61,0,1,0
62ece4982e6aefcf4aabbd63,0,0,-1
62ece4982e6aefcf4aabbd63,-1,1,0
62ece4982e6aefcf4aabbd63,0,-1,0
62ece4982e6aefcf4aabbd63,0,0,0
62ece4982e6aefcf4aabbd63,0,0,0
62ece4982e6aefcf4aabbd6a,0,1,-1
62ece4982e6aefcf4aabbd6a,0,1,0
62ece4982e6aefcf4aabbd6a,0,1,0
62ece4982e6aefcf4aabbd6a,0,1,0
62ece4982e6aefcf4aabbd6a,0,1,0
62ece4982e6aefcf4aabbd6a,0,1,0
62ece4982e6aefcf4aabbd6a,0,1,0
62ece4982e6aefcf4aabbd6a,0,1,0
62ece4982e6aefcf4aabbd6a,0,1,-1
62ece4982e6aefcf4aabbd6a,0,1,0
62ece4982e6aefcf4aabbd70,0,1,-1
62ece4982e6aefcf4aabbd70,0,0,0
62ece4982e6aefcf4aabbd70,0,1,0
62ece4982e6aefcf4aabbd70,0,0,0
62ece4982e6aefcf4aabbd70,0,0,0
62ece4992e6aefcf4aabbd7e,-1,1,0
62ece4992e6aefcf4aabbd7e,1,0,0
62ece4992e6aefcf4aabbd7e,1,0,0
62ece4992e6aefcf4aabbd7e,1,0,0
62ece4992e6aefcf4aabbd7e,1,-1,0
62ece4992e6aefcf4aabbd7e,0,0,0
62ece4992e6aefcf4aabbd80,0,1,0
62ece4992e6aefcf4aabbd80,0,1,0
62ece4992e6aefcf4aabbd80,0,1,0
62ece4992e6aefcf4aabbd80,0,1,0
62ece4992e6aefcf4aabbd88,0,1,0
62ece4992e6aefcf4aabbd88,0,0,0
62ece4992e6aefcf4aabbd88,0,1,0
62ece4992e6aefcf4aabbd88,0,1,0
62ece4992e6aefcf4aabbd88,0,1,0
62ece4992e6aefcf4aabbd88,0,1,0
62ece4992e6aefcf4aabbd88,0,1,0
62ece4992e6aefcf4aabbd88,0,1,0
62ece4992e6aefcf4aabbd88,0,1,0
62b8a7b2755ee91dce50a4a7,0,-1,0
62b8a7b2755ee91dce50a4a7,0,-1,0
62b8a7b2755ee91dce50a4a7,0,-1,0
6306299052e177c0ba469fe8,0,0,0
